event_id,client_id,event_order,previous_event_id,event_date,event_month,scenario_name,lifecycle_stage,event_type,product,topic,channel,sentiment,status,satisfaction_score,is_complaint,is_purchase,is_repeat,resolution_time_days
event_27771ad1ae68,C001,1,,2024-12-11,2024-12,problematic_many_complaints,использование продукта,usage,Дебетовая карта,комиссия,email,neutral,completed,4,False,False,False,1.0
event_23cb234e9bed,C001,2,event_27771ad1ae68,2025-01-18,2025-01,problematic_many_complaints,жалоба,complaint,Страхование,жалоба на обслуживание,офис,negative,escalated,2,True,False,True,
event_8c29135abac0,C001,3,event_23cb234e9bed,2025-02-24,2025-02,problematic_many_complaints,эскалация,escalation,Страхование,блокировка карты,офис,negative,escalated,3,True,False,True,
event_65d9b172fbc2,C001,4,event_8c29135abac0,2025-04-01,2025-04,problematic_many_complaints,решение проблемы,problem_resolved,Страхование,техническая ошибка,сайт,positive,resolved,4,False,False,True,3.0
event_13fa3c53a9e9,C001,5,event_65d9b172fbc2,2025-04-20,2025-04,problematic_many_complaints,жалоба,complaint,Страхование,ошибка в приложении,сайт,negative,escalated,3,True,False,True,
event_9574cad4294c,C001,6,event_13fa3c53a9e9,2025-05-15,2025-05,problematic_many_complaints,вопрос в поддержку,support_question,Страхование,техническая ошибка,мобильное приложение,positive,resolved,5,False,False,True,1.0
event_083e4c73eb20,C001,7,event_9574cad4294c,2025-05-30,2025-05,problematic_many_complaints,жалоба,complaint,Страхование,жалоба на обслуживание,телефон,negative,in_progress,3,True,False,True,
event_27f9b4ebb9c8,C001,8,event_083e4c73eb20,2025-06-27,2025-06,problematic_many_complaints,эскалация,escalation,Страхование,техническая ошибка,сайт,negative,escalated,2,True,False,True,
event_0d8e4d9e5b33,C002,1,,2024-11-11,2024-11,complaint_resolved_return,использование продукта,usage,Страхование,комиссия,чат,positive,completed,5,False,False,False,2.0
event_33213a837f9a,C002,2,event_0d8e4d9e5b33,2024-11-25,2024-11,complaint_resolved_return,жалоба,complaint,Накопительный счет,блокировка карты,чат,negative,in_progress,3,True,False,True,
event_1d9133db1e58,C002,3,event_33213a837f9a,2024-12-30,2024-12,complaint_resolved_return,эскалация,escalation,Потребительский кредит,блокировка карты,чат,negative,escalated,3,True,False,True,
event_240a45d6b2a1,C002,4,event_1d9133db1e58,2025-01-19,2025-01,complaint_resolved_return,решение проблемы,problem_resolved,Накопительный счет,возврат средств,чат,positive,resolved,4,False,False,True,5.0
event_7dce7853327a,C002,5,event_240a45d6b2a1,2025-01-26,2025-01,complaint_resolved_return,удержание,retention,Накопительный счет,консультация по тарифам,email,positive,retained,4,False,False,True,2.0
event_b1f221297bf6,C003,1,,2024-08-19,2024-08,complaint_and_leave,использование продукта,usage,Кредитная карта,изменение персональных данных,сайт,neutral,completed,3,False,False,False,3.0
event_8d7423c933c5,C003,2,event_b1f221297bf6,2024-09-04,2024-09,complaint_and_leave,жалоба,complaint,Накопительный счет,комиссия,чат,neutral,escalated,1,True,False,True,
event_76c822a306f4,C003,3,event_8d7423c933c5,2024-10-09,2024-10,complaint_and_leave,уход клиента,churn,Кредитная карта,комиссия,чат,negative,lost,2,False,False,True,
event_1c0c1f40b7e7,C004,1,,2024-11-21,2024-11,one_touch,знакомство,introduction,Ипотека,консультация по тарифам,чат,neutral,completed,5,False,False,False,2.0
event_7c2d07c505cf,C005,1,,2024-09-28,2024-09,loyal_multi_product,знакомство,introduction,Накопительный счет,оформление продукта,чат,neutral,completed,3,False,False,False,2.0
event_e29857fe2fc9,C005,2,event_7c2d07c505cf,2024-10-16,2024-10,loyal_multi_product,интерес к продукту,product_interest,Страхование,повышение лимита,email,neutral,completed,3,False,False,True,3.0
event_793eb5cc3758,C005,3,event_e29857fe2fc9,2024-10-28,2024-10,loyal_multi_product,покупка,purchase,Инвестиционный счет,условия продукта,чат,positive,completed,5,False,True,True,2.0
event_a05b43d094d4,C005,4,event_793eb5cc3758,2024-11-25,2024-11,loyal_multi_product,использование продукта,usage,Инвестиционный счет,условия продукта,чат,neutral,completed,4,False,False,True,0.0
event_32f0087e4868,C005,5,event_a05b43d094d4,2024-12-22,2024-12,loyal_multi_product,повторная покупка,repeat_purchase,Ипотека,оформление продукта,мобильное приложение,positive,completed,5,False,True,True,2.0
event_a90922b8c751,C006,1,,2024-11-14,2024-11,complaint_and_leave,жалоба,complaint,Кредитная карта,блокировка карты,телефон,negative,in_progress,3,True,False,False,
event_cf43f0366792,C006,2,event_a90922b8c751,2024-12-08,2024-12,complaint_and_leave,уход клиента,churn,Кредитная карта,жалоба на обслуживание,телефон,negative,lost,2,False,False,True,
event_a12be4513720,C007,1,,2025-01-09,2025-01,complaint_and_leave,знакомство,introduction,Кредитная карта,оформление продукта,чат,positive,completed,5,False,False,False,0.0
event_0a092504170b,C007,2,event_a12be4513720,2025-01-21,2025-01,complaint_and_leave,покупка,purchase,Кредитная карта,оформление продукта,сайт,positive,completed,4,False,True,True,2.0
event_ca232430e006,C007,3,event_0a092504170b,2025-02-15,2025-02,complaint_and_leave,использование продукта,usage,Кредитная карта,условия продукта,мобильное приложение,neutral,completed,4,False,False,True,1.0
event_438d7c6d946a,C007,4,event_ca232430e006,2025-03-18,2025-03,complaint_and_leave,жалоба,complaint,Страхование,жалоба на обслуживание,чат,negative,in_progress,2,True,False,True,
event_e45f9057a3b8,C007,5,event_438d7c6d946a,2025-03-25,2025-03,complaint_and_leave,эскалация,escalation,Кредитная карта,блокировка карты,чат,negative,escalated,2,True,False,True,
event_7d25c29698b6,C007,6,event_e45f9057a3b8,2025-04-23,2025-04,complaint_and_leave,уход клиента,churn,Кредитная карта,жалоба на обслуживание,мобильное приложение,negative,lost,1,False,False,True,
event_9b9f167c9e7e,C008,1,,2024-12-25,2024-12,complaint_and_leave,знакомство,introduction,Дебетовая карта,условия продукта,email,positive,completed,4,False,False,False,3.0
event_004fc7ecd9a4,C008,2,event_9b9f167c9e7e,2025-02-01,2025-02,complaint_and_leave,покупка,purchase,Кредитная карта,оформление продукта,email,positive,completed,5,False,True,True,0.0
event_c69e5ebe6d36,C008,3,event_004fc7ecd9a4,2025-03-13,2025-03,complaint_and_leave,использование продукта,usage,Дебетовая карта,изменение персональных данных,мобильное приложение,positive,completed,5,False,False,True,1.0
