message_id,event_id,client_id,message_order,speaker,text,event_type,lifecycle_stage,product,topic,sentiment,event_date
message_508b92b479f9,event_083e4c73eb20,C001,1,client,Меня не устраивает качество обслуживания. Тема обращения: жалоба на обслуживание.,complaint,жалоба,Страхование,жалоба на обслуживание,negative,2025-05-30
message_11fb6424a80c,event_083e4c73eb20,C001,2,operator,"Мне жаль, что вы столкнулись с такой ситуацией. Я зарегистрирую жалобу.",complaint,жалоба,Страхование,жалоба на обслуживание,negative,2025-05-30
message_9c2a654035e8,event_083e4c73eb20,C001,3,client,Можно ли получить подтверждение после завершения операции?,complaint,жалоба,Страхование,жалоба на обслуживание,negative,2025-05-30
message_e1157375f8ab,event_083e4c73eb20,C001,4,system,Системное уведомление: настроение обращения определено как «negative».,complaint,жалоба,Страхование,жалоба на обслуживание,negative,2025-05-30
message_32feb61e6110,event_083e4c73eb20,C001,5,client,Меня зовут Алевтина Игоревна Николаева. Прошу учесть мой прошлый опыт и текущий продукт.,complaint,жалоба,Страхование,жалоба на обслуживание,negative,2025-05-30
message_d6dc7514be67,event_083e4c73eb20,C001,6,system,Системное уведомление: клиенту присвоен статус обращения «in_progress».,complaint,жалоба,Страхование,жалоба на обслуживание,negative,2025-05-30
message_5c80086c7fdd,event_083e4c73eb20,C001,7,operator,Я зафиксировал обращение. Статус сейчас: in_progress.,complaint,жалоба,Страхование,жалоба на обслуживание,negative,2025-05-30
message_43e1ab93d089,event_13fa3c53a9e9,C001,1,client,Хочу оставить жалобу. По продукту «Страхование» возникла неприятная ситуация.,complaint,жалоба,Страхование,ошибка в приложении,negative,2025-04-20
message_c29919ec37f6,event_13fa3c53a9e9,C001,2,operator,"Мне жаль, что вы столкнулись с такой ситуацией. Я зарегистрирую жалобу.",complaint,жалоба,Страхование,ошибка в приложении,negative,2025-04-20
message_e9f8ba430656,event_13fa3c53a9e9,C001,3,client,Мне удобнее продолжить общение через канал «сайт».,complaint,жалоба,Страхование,ошибка в приложении,negative,2025-04-20
message_a2f74edcefa7,event_13fa3c53a9e9,C001,4,operator,"По этому обращению указан статус «escalated», оценка удовлетворенности будет учтена.",complaint,жалоба,Страхование,ошибка в приложении,negative,2025-04-20
message_9ee0e343220a,event_23cb234e9bed,C001,1,client,Я недоволен ситуацией по продукту «Страхование». Проблема: жалоба на обслуживание.,complaint,жалоба,Страхование,жалоба на обслуживание,negative,2025-01-18
message_b622255797ef,event_23cb234e9bed,C001,2,operator,Понимаю ваше недовольство. Зафиксирую обращение и передам его в работу.,complaint,жалоба,Страхование,жалоба на обслуживание,negative,2025-01-18
message_5ed1c28aa7d0,event_23cb234e9bed,C001,3,client,Можно ли получить подтверждение после завершения операции?,complaint,жалоба,Страхование,жалоба на обслуживание,negative,2025-01-18
message_7b1fa0c58cc4,event_23cb234e9bed,C001,4,system,Системное уведомление: настроение обращения определено как «negative».,complaint,жалоба,Страхование,жалоба на обслуживание,negative,2025-01-18
message_7e2d5451b3cd,event_23cb234e9bed,C001,5,operator,"Если появятся дополнительные вопросы, можно продолжить диалог в этом же канале.",complaint,жалоба,Страхование,жалоба на обслуживание,negative,2025-01-18
message_0f52f5143cb3,event_27771ad1ae68,C001,1,client,У меня есть вопрос по использованию продукта «Дебетовая карта».,usage,использование продукта,Дебетовая карта,комиссия,neutral,2024-12-11
message_866fa64cbe86,event_27771ad1ae68,C001,2,operator,Давайте посмотрим детали операции и найдем ответ.,usage,использование продукта,Дебетовая карта,комиссия,neutral,2024-12-11
message_92f4890685b2,event_27771ad1ae68,C001,3,client,Я хочу понимать сроки и что будет происходить дальше.,usage,использование продукта,Дебетовая карта,комиссия,neutral,2024-12-11
message_6635c4711190,event_27771ad1ae68,C001,4,system,Системное уведомление: клиенту присвоен статус обращения «completed».,usage,использование продукта,Дебетовая карта,комиссия,neutral,2024-12-11
message_215e0f4840f9,event_27771ad1ae68,C001,5,operator,Я вижу историю клиента и учитываю этап «использование продукта».,usage,использование продукта,Дебетовая карта,комиссия,neutral,2024-12-11
message_0e6b652c8a7a,event_27771ad1ae68,C001,6,system,Системное уведомление: настроение обращения определено как «neutral».,usage,использование продукта,Дебетовая карта,комиссия,neutral,2024-12-11
message_8260cb2fa08d,event_27771ad1ae68,C001,7,client,Меня зовут Алевтина Игоревна Николаева. Прошу учесть мой прошлый опыт и текущий продукт.,usage,использование продукта,Дебетовая карта,комиссия,neutral,2024-12-11
message_fb9f05378cf1,event_27771ad1ae68,C001,8,operator,Отправлю вам подтверждение и краткое резюме по теме «комиссия».,usage,использование продукта,Дебетовая карта,комиссия,neutral,2024-12-11
message_f8cf73881388,event_27f9b4ebb9c8,C001,1,client,"Ситуация по теме «техническая ошибка» затянулась, нужна эскалация.",escalation,эскалация,Страхование,техническая ошибка,negative,2025-06-27
message_755ad68990f2,event_27f9b4ebb9c8,C001,2,operator,Я передаю обращение на следующий уровень поддержки и отмечаю срочность.,escalation,эскалация,Страхование,техническая ошибка,negative,2025-06-27
message_4c7de3a189e3,event_27f9b4ebb9c8,C001,3,client,Можно ли получить подтверждение после завершения операции?,escalation,эскалация,Страхование,техническая ошибка,negative,2025-06-27
message_758145ab230c,event_27f9b4ebb9c8,C001,4,system,Системное уведомление: клиенту присвоен статус обращения «escalated».,escalation,эскалация,Страхование,техническая ошибка,negative,2025-06-27
message_ae41ef553faf,event_27f9b4ebb9c8,C001,5,system,Системное уведомление: настроение обращения определено как «negative».,escalation,эскалация,Страхование,техническая ошибка,negative,2025-06-27
message_cfaf014ce20e,event_27f9b4ebb9c8,C001,6,operator,Я зафиксировал обращение. Статус сейчас: escalated.,escalation,эскалация,Страхование,техническая ошибка,negative,2025-06-27
message_c8661c47e887,event_65d9b172fbc2,C001,1,client,"Мне сообщили, что вопрос почти решен. Подтвердите, пожалуйста.",problem_resolved,решение проблемы,Страхование,техническая ошибка,positive,2025-04-01
message_0c152405d793,event_65d9b172fbc2,C001,2,operator,"По вашему обращению есть результат. Проблема закрыта, данные обновлены.",problem_resolved,решение проблемы,Страхование,техническая ошибка,positive,2025-04-01
message_71866daedc80,event_65d9b172fbc2,C001,3,client,Можно ли получить подтверждение после завершения операции?,problem_resolved,решение проблемы,Страхование,техническая ошибка,positive,2025-04-01
message_df4bd7728c38,event_65d9b172fbc2,C001,4,operator,Я вижу историю клиента и учитываю этап «решение проблемы».,problem_resolved,решение проблемы,Страхование,техническая ошибка,positive,2025-04-01
message_9de39e6ba4fe,event_65d9b172fbc2,C001,5,client,Меня зовут Алевтина Игоревна Николаева. Прошу учесть мой прошлый опыт и текущий продукт.,problem_resolved,решение проблемы,Страхование,техническая ошибка,positive,2025-04-01
message_cd4e85a3f2bc,event_65d9b172fbc2,C001,6,system,Системное уведомление: настроение обращения определено как «positive».,problem_resolved,решение проблемы,Страхование,техническая ошибка,positive,2025-04-01
message_71c59e4e9661,event_65d9b172fbc2,C001,7,operator,"Информация передана в работу, ориентировочный срок решения зависит от проверки.",problem_resolved,решение проблемы,Страхование,техническая ошибка,positive,2025-04-01
message_254ae0f7ca1b,event_8c29135abac0,C001,1,client,Прошу передать обращение старшему специалисту. Вопрос по «Страхование» не решен.,escalation,эскалация,Страхование,блокировка карты,negative,2025-02-24
message_e7945ed9103a,event_8c29135abac0,C001,2,operator,Эскалация оформлена. Специалист проверит историю обращений.,escalation,эскалация,Страхование,блокировка карты,negative,2025-02-24
message_4d397156e12d,event_8c29135abac0,C001,3,client,Мне удобнее продолжить общение через канал «офис».,escalation,эскалация,Страхование,блокировка карты,negative,2025-02-24
