source,target,relation
Client::C001,City::Новосибирск,CLIENT_FROM_CITY
Client::C002,City::Новосибирск,CLIENT_FROM_CITY
Client::C003,City::Москва,CLIENT_FROM_CITY
Client::C004,City::Нижний Новгород,CLIENT_FROM_CITY
Client::C005,City::Пермь,CLIENT_FROM_CITY
Client::C006,City::Санкт-Петербург,CLIENT_FROM_CITY
Client::C007,City::Пермь,CLIENT_FROM_CITY
Client::C008,City::Пермь,CLIENT_FROM_CITY
Client::C009,City::Воронеж,CLIENT_FROM_CITY
Client::C010,City::Краснодар,CLIENT_FROM_CITY
Client::C011,City::Москва,CLIENT_FROM_CITY
Client::C012,City::Краснодар,CLIENT_FROM_CITY
Client::C013,City::Казань,CLIENT_FROM_CITY
Client::C014,City::Воронеж,CLIENT_FROM_CITY
Client::C015,City::Екатеринбург,CLIENT_FROM_CITY
Client::C016,City::Краснодар,CLIENT_FROM_CITY
Client::C017,City::Ростов-на-Дону,CLIENT_FROM_CITY
Client::C018,City::Пермь,CLIENT_FROM_CITY
Client::C019,City::Уфа,CLIENT_FROM_CITY
Client::C020,City::Нижний Новгород,CLIENT_FROM_CITY
Client::C021,City::Новосибирск,CLIENT_FROM_CITY
Client::C022,City::Ростов-на-Дону,CLIENT_FROM_CITY
Client::C023,City::Самара,CLIENT_FROM_CITY
Client::C024,City::Краснодар,CLIENT_FROM_CITY
Client::C025,City::Ростов-на-Дону,CLIENT_FROM_CITY
Client::C026,City::Новосибирск,CLIENT_FROM_CITY
Client::C027,City::Краснодар,CLIENT_FROM_CITY
Client::C028,City::Екатеринбург,CLIENT_FROM_CITY
Client::C029,City::Нижний Новгород,CLIENT_FROM_CITY
Client::C030,City::Казань,CLIENT_FROM_CITY
Client::C031,City::Пермь,CLIENT_FROM_CITY
Client::C032,City::Казань,CLIENT_FROM_CITY
Client::C033,City::Уфа,CLIENT_FROM_CITY
Client::C034,City::Москва,CLIENT_FROM_CITY
Client::C035,City::Казань,CLIENT_FROM_CITY
Client::C036,City::Ростов-на-Дону,CLIENT_FROM_CITY
Client::C037,City::Санкт-Петербург,CLIENT_FROM_CITY
Client::C038,City::Казань,CLIENT_FROM_CITY
Client::C039,City::Краснодар,CLIENT_FROM_CITY
Client::C040,City::Пермь,CLIENT_FROM_CITY
Client::C041,City::Екатеринбург,CLIENT_FROM_CITY
Client::C042,City::Самара,CLIENT_FROM_CITY
Client::C043,City::Краснодар,CLIENT_FROM_CITY
Client::C044,City::Новосибирск,CLIENT_FROM_CITY
Client::C045,City::Пермь,CLIENT_FROM_CITY
Client::C046,City::Санкт-Петербург,CLIENT_FROM_CITY
Client::C047,City::Ростов-на-Дону,CLIENT_FROM_CITY
Client::C048,City::Уфа,CLIENT_FROM_CITY
Client::C049,City::Уфа,CLIENT_FROM_CITY
Client::C050,City::Воронеж,CLIENT_FROM_CITY
Client::C001,Event::event_083e4c73eb20,CLIENT_HAS_EVENT
Client::C001,Event::event_13fa3c53a9e9,CLIENT_HAS_EVENT
Client::C001,Event::event_23cb234e9bed,CLIENT_HAS_EVENT
Client::C001,Event::event_27771ad1ae68,CLIENT_HAS_EVENT
Client::C001,Event::event_27f9b4ebb9c8,CLIENT_HAS_EVENT
Client::C001,Event::event_65d9b172fbc2,CLIENT_HAS_EVENT
Client::C001,Event::event_8c29135abac0,CLIENT_HAS_EVENT
Client::C001,Event::event_9574cad4294c,CLIENT_HAS_EVENT
Client::C002,Event::event_0d8e4d9e5b33,CLIENT_HAS_EVENT
Client::C002,Event::event_1d9133db1e58,CLIENT_HAS_EVENT
Client::C002,Event::event_240a45d6b2a1,CLIENT_HAS_EVENT
Client::C002,Event::event_33213a837f9a,CLIENT_HAS_EVENT
Client::C002,Event::event_7dce7853327a,CLIENT_HAS_EVENT
Client::C003,Event::event_76c822a306f4,CLIENT_HAS_EVENT
Client::C003,Event::event_8d7423c933c5,CLIENT_HAS_EVENT
Client::C003,Event::event_b1f221297bf6,CLIENT_HAS_EVENT
Client::C004,Event::event_1c0c1f40b7e7,CLIENT_HAS_EVENT
Client::C005,Event::event_32f0087e4868,CLIENT_HAS_EVENT
Client::C005,Event::event_793eb5cc3758,CLIENT_HAS_EVENT
Client::C005,Event::event_7c2d07c505cf,CLIENT_HAS_EVENT
Client::C005,Event::event_a05b43d094d4,CLIENT_HAS_EVENT
Client::C005,Event::event_e29857fe2fc9,CLIENT_HAS_EVENT
Client::C006,Event::event_a90922b8c751,CLIENT_HAS_EVENT
Client::C006,Event::event_cf43f0366792,CLIENT_HAS_EVENT
Client::C007,Event::event_0a092504170b,CLIENT_HAS_EVENT
Client::C007,Event::event_438d7c6d946a,CLIENT_HAS_EVENT
Client::C007,Event::event_7d25c29698b6,CLIENT_HAS_EVENT
Client::C007,Event::event_a12be4513720,CLIENT_HAS_EVENT
Client::C007,Event::event_ca232430e006,CLIENT_HAS_EVENT
Client::C007,Event::event_e45f9057a3b8,CLIENT_HAS_EVENT
Client::C008,Event::event_004fc7ecd9a4,CLIENT_HAS_EVENT
Client::C008,Event::event_993373bca03d,CLIENT_HAS_EVENT
Client::C008,Event::event_9b9f167c9e7e,CLIENT_HAS_EVENT
Client::C008,Event::event_a8f7a0d3ddb7,CLIENT_HAS_EVENT
Client::C008,Event::event_c69e5ebe6d36,CLIENT_HAS_EVENT
Client::C009,Event::event_1b7ae55a4026,CLIENT_HAS_EVENT
Client::C009,Event::event_681a0f4b121f,CLIENT_HAS_EVENT
Client::C009,Event::event_afcbbd08ccc2,CLIENT_HAS_EVENT
Client::C009,Event::event_bc755d97b28a,CLIENT_HAS_EVENT
Client::C009,Event::event_ec4b7dab592d,CLIENT_HAS_EVENT
Client::C009,Event::event_fe437fd3e3d4,CLIENT_HAS_EVENT
Client::C010,Event::event_0f5db095f94f,CLIENT_HAS_EVENT
Client::C010,Event::event_25b4a89b3bef,CLIENT_HAS_EVENT
Client::C010,Event::event_4f871ce9f1bd,CLIENT_HAS_EVENT
Client::C010,Event::event_6517e3a01960,CLIENT_HAS_EVENT
Client::C010,Event::event_8b188eea9d21,CLIENT_HAS_EVENT
Client::C010,Event::event_d71ea6919cd3,CLIENT_HAS_EVENT
Client::C010,Event::event_d768c0c7f4ab,CLIENT_HAS_EVENT
Client::C011,Event::event_01e204b94ee1,CLIENT_HAS_EVENT
Client::C011,Event::event_28f0d477a5e4,CLIENT_HAS_EVENT
Client::C011,Event::event_2ec6a02eb4ee,CLIENT_HAS_EVENT
Client::C011,Event::event_31297d57fdf6,CLIENT_HAS_EVENT
Client::C011,Event::event_9c0778bd1c34,CLIENT_HAS_EVENT
Client::C011,Event::event_a172b5c9ad5c,CLIENT_HAS_EVENT
Client::C011,Event::event_a461a9c10bb9,CLIENT_HAS_EVENT
Client::C011,Event::event_b4e5147fcef4,CLIENT_HAS_EVENT
Client::C011,Event::event_b5990ddd8e29,CLIENT_HAS_EVENT
Client::C011,Event::event_bf8e68242dbf,CLIENT_HAS_EVENT
Client::C011,Event::event_dee79f911a48,CLIENT_HAS_EVENT
Client::C012,Event::event_2f01b3a1fc29,CLIENT_HAS_EVENT
Client::C012,Event::event_3163dbb1dd58,CLIENT_HAS_EVENT
Client::C012,Event::event_4ca74c4f8d6f,CLIENT_HAS_EVENT
Client::C012,Event::event_4e947e9a6033,CLIENT_HAS_EVENT
Client::C012,Event::event_731191183003,CLIENT_HAS_EVENT
Client::C012,Event::event_92ec8a803166,CLIENT_HAS_EVENT
Client::C012,Event::event_a20ffd583ad5,CLIENT_HAS_EVENT
Client::C013,Event::event_f4e9f24b357b,CLIENT_HAS_EVENT
Client::C014,Event::event_1a2b9226c415,CLIENT_HAS_EVENT
Client::C014,Event::event_724d42d1789c,CLIENT_HAS_EVENT
